356,XPOT
357,CHCHD7
358,XPO1
359,GCN1L1
360,MYRF
361,ECT2
362,RRP15
363,COMMD4
364,ATP1B3
365,VGLL3
366,TAF1B
367,PPP2R2A
368,IRS2
369,MYBBP1A
370,RNMTL1
371,PCDHGA1
372,TAS2R19
373,RTCB
374,COA5
375,CKS2
376,MRPL23
377,SKAP2
378,TYMS
379,EPC1
380,ARL14EPL
381,DPM2
382,ZNF844
383,RNF123
384,OSGEP
385,NCAPD3
386,ERCC1
387,RNF168
388,UFSP2
389,KNTC1
390,USP36
391,CCZ1B
392,ATF4
393,KIAA1279
394,BUD13
395,CNOT7
396,ATP6V1C1
397,MTHFD1
398,RALBP1
399,CNOT1
400,TRAPPC13
401,PPCS
402,COX6B1
403,HSP90AA1
404,APEX2
405,CYP3A43
406,NCK1
407,FCGR1A
408,SAP130
409,PCMTD2
410,MANF
411,UBE2S
412,FAM200B
413,NOP10
414,CMTR2
415,FUNDC1
416,THAP3
417,TMEM184C
418,NELFE
419,CEP192
420,ANKRD34B
421,COX20
422,AKTIP
423,MDGA2
424,PPT2
425,ZNF730
426,KRTAP19-6
427,ANKRD49
428,ATP5J
429,RICTOR
430,RABL2A
431,DIMT1
432,SCARB2
433,SLC10A7
434,C7orf55-LUC7L2
435,MMP10
436,NBPF4
437,HSP90B1
438,OLFML1
439,UGT2A3
440,HIGD1A
441,NGDN
442,SLC39A10
443,CLPB
444,KRTAP5-7
445,RCN1
446,SUMO1
447,AMY1B
448,RPRD1B
449,RRAGA
450,PNPLA8
451,MAGED4
452,BNIP3
453,DDX11
454,AMY2B
455,MOGAT1
456,PFAS
457,USE1
458,ENAH
459,DDX19A
460,ABI3BP
461,UTP14A
462,KIAA2013
463,OSBPL1A
464,PIGC
465,BMI1
466,DCLRE1A
467,PFKM
468,CHDC2
469,PLRG1
470,VPS26A
471,MPZL3
472,CLDND2
473,SLFN12L
474,TAF1A
475,NDUFS5
476,NOTCH2NL
477,ARHGAP21
478,NDUFV1
479,SARNP
480,TDGF1
481,BAK1
482,UBC
483,TTF1
484,RHBDF1
485,ARPP19
486,KLB
487,PA2G4
488,PRCC
489,UTP23
490,TRIP13
491,NUDT16L1
492,METTL7A
493,SPEF2
494,OCIAD1
495,PI4KB
496,DNAJC17
497,ATP6V1G1
498,PTP4A1
499,RAP1B
500,TRMT5
501,DCTN4
502,CENPH
503,CCDC58
504,COQ2
505,SNAP23
506,TSEN54
507,TAX1BP3
