GENE_NAMES,ADAM_CORE_FITNESS
SUPT6H,TRUE
TRAPPC3,TRUE
TUT1,TRUE
UPF2,TRUE
CDC23,TRUE
DDX10,TRUE
PAM16,TRUE
RPS16,TRUE
RTFDC1,TRUE
TRAPPC8,TRUE
ANAPC4,TRUE
ATP6V0C,TRUE
EIF2B3,TRUE
ESPL1,TRUE
FBXO5,TRUE
PSMC4,TRUE
RPF2,TRUE
RPL35A,TRUE
WBSCR22,TRUE
CENPN,TRUE
DDX54,TRUE
HCFC1,TRUE
HEATR1,TRUE
LCE1E,TRUE
PHAX,TRUE
POLR3F,TRUE
UBTF,TRUE
YBX1,TRUE
ALG11,TRUE
CPSF2,TRUE
EIF2S3,TRUE
INTS4,TRUE
MARS,TRUE
NUS1,TRUE
PSMA4,TRUE
RBM25,TRUE
VPS25,TRUE
CDK11A,TRUE
PFDN2,TRUE
RBM17,TRUE
RPL36A,TRUE
SACM1L,TRUE
TRMT112,TRUE
TUBGCP4,TRUE
WEE1,TRUE
ACTR10,TRUE
ATP6V1B2,TRUE
CCT5,TRUE
DAD1,TRUE
DHX37,TRUE
MPHOSPH10,TRUE
NPLOC4,TRUE
NSL1,TRUE
PRC1,TRUE
RBM14,TRUE
RPL23A,TRUE
SS18L2,TRUE
TSG101,TRUE
TTC27,TRUE
UBA1,TRUE
VPS28,TRUE
ATP6V1E1,TRUE
BUB3,TRUE
CENPW,TRUE
EIF2B5,TRUE
EIF4E,TRUE
HAUS3,TRUE
KIN,TRUE
POLA2,TRUE
POLR2K,TRUE
PRPF38B,TRUE
PSMB6,TRUE
PSMC1,TRUE
PWP2,TRUE
RACGAP1,TRUE
RSL1D1,TRUE
SAP30BP,TRUE
SNRNP70,TRUE
SNRPB,TRUE
TNPO3,TRUE
WARS,TRUE
ACTR2,TRUE
EIF2S2,TRUE
NAA50,TRUE
RSL24D1,TRUE
SCFD1,TRUE
U2SURP,TRUE
WDR75,TRUE
ARCN1,TRUE
ARL2,TRUE
CENPC,TRUE
CTCF,TRUE
ERCC3,TRUE
FCF1,TRUE
GTF2E2,TRUE
ISCU,TRUE
KRTAP4-11,TRUE
KRTAP5-6,TRUE
NOP58,TRUE
PDCD7,TRUE
SKIV2L2,TRUE
CBWD1,TRUE
CCT2,TRUE
DBR1,TRUE
ECD,TRUE
FARSA,TRUE
GPN2,TRUE
GTF2A2,TRUE
IMP3,TRUE
KANSL2,TRUE
NAA38,TRUE
PSMD11,TRUE
RAD51,TRUE
RFC5,TRUE
RNGTT,TRUE
SART3,TRUE
SEC13,TRUE
SEC61G,TRUE
SF3B4,TRUE
SNRNP27,TRUE
CDC6,TRUE
EIF5,TRUE
HIST1H2BN,TRUE
MCM5,TRUE
MCM7,TRUE
NIP7,TRUE
PGAM4,TRUE
POLR2I,TRUE
PSMD1,TRUE
RPL22,TRUE
RPLP2,TRUE
SNAPC1,TRUE
TCEB1,TRUE
USPL1,TRUE
ATP2A2,TRUE
BRF1,TRUE
C21orf59,TRUE
DHFRL1,TRUE
GRPEL1,TRUE
MED27,TRUE
NDC80,TRUE
NUP214,TRUE
PISD,TRUE
RNF113A,TRUE
THOC5,TRUE
ALG1L,TRUE
ALYREF,TRUE
C9orf114,TRUE
DHX8,TRUE
KRTAP5-10,TRUE
KRTAP9-4,TRUE
MED4,TRUE
NRF1,TRUE
SF3B2,TRUE
TOP1,TRUE
BANF1,TRUE
EXOSC3,TRUE
GSPT1,TRUE
GTF2E1,TRUE
POLR1B,TRUE
PRPF40A,TRUE
PSMB5,TRUE
RABGGTB,TRUE
RIOK2,TRUE
TUBGCP3,TRUE
AAMP,TRUE
ATP6V1A,TRUE
EEF1A1,TRUE
HINFP,TRUE
MED30,TRUE
NRDE2,TRUE
PKMYT1,TRUE
TCP1,TRUE
NOP16,TRUE
PSMB1,TRUE
RCC1,TRUE
RFC4,TRUE
SYMPK,TRUE
TFIP11,TRUE
THOC3,TRUE
NAT10,TRUE
BCAS2,TRUE
HAUS1,TRUE
MED20,TRUE
MEPCE,TRUE
NOL10,TRUE
POLD3,TRUE
RIOK1,TRUE
SSRP1,TRUE
UTP15,TRUE
MZT1,TRUE
NCAPG,TRUE
TUBG1,TRUE
CSTF3,TRUE
HNRNPC,TRUE
MCM6,TRUE
PSMD2,TRUE
UTP20,TRUE
DTYMK,TRUE
EIF1,TRUE
INCENP,TRUE
NUBP1,TRUE
NUP155,TRUE
PPP1CB,TRUE
RPS2,TRUE
TONSL,TRUE
GBF1,TRUE
NMD3,TRUE
SFPQ,TRUE
SNAPC3,TRUE
UPF1,TRUE
WDR12,TRUE
HAUS7,TRUE
NKAP,TRUE
POLD2,TRUE
POLE,TRUE
PRPF4,TRUE
CACTIN,TRUE
TRAPPC2,TRUE
TUBB,TRUE
ANAPC5,TRUE
LCE1A,TRUE
NOP56,TRUE
PCBP1,TRUE
PES1,TRUE
TOP3A,TRUE
ABCB7,TRUE
ANAPC2,TRUE
INTS2,TRUE
UXT,TRUE
BRIX1,TRUE
PCID2,TRUE
PMF1-BGLAP,TRUE
RNPS1,TRUE
TOMM40,TRUE
TTC1,TRUE
EXOSC7,TRUE
HIST1H2AM,TRUE
LCE1F,TRUE
PRPF6,TRUE
PPWD1,TRUE
TRAPPC11,TRUE
AFG3L2,TRUE
DHX9,TRUE
ELL,TRUE
CENPK,TRUE
MASTL,TRUE
PRMT1,TRUE
MCM3,TRUE
HIST1H2BL,TRUE
SAP18,TRUE
TUBGCP2,TRUE
HAUS4,TRUE
IARS,TRUE
