Gene,Score,Bucket
GJC1,35.667,5
HYAL4,35.667,6
LGI1,35.667,4
MCCD1,35.667,10
RAB2A,35.667,5
RAD9B,35.667,10
TRIM61,35.667,10
USP46,35.667,10
UTP3,35.667,10
SLC2A1,35.653,4
NOB1,35.597,9
NXF2,35.588,10
EXOC5,35.542,10
TMEM167A,35.534,10
ACAD9,35.5,10
ANKHD1,35.5,10
BAK1,35.5,4
BAMBI,35.5,5
BRD7,35.5,7
CENPP,35.5,10
DUSP4,35.5,8
FAHD2B,35.5,10
HSPA14,35.5,9
KDELR2,35.5,5
MPDU1,35.5,5
MRPL12,35.5,10
NABP2,35.5,9
NDUFAF4,35.5,1
NDUFB2,35.5,1
NPEPPS,35.5,5
OCM2,35.5,10
OXSM,35.5,4
PHC1,35.5,10
PIK3CD,35.5,1
PPP1R35,35.5,10
PPP2R5E,35.5,10
PTGES3,35.5,5
RBM27,35.5,9
ROCK1,35.5,2
SCO2,35.5,5
SDHAF2,35.5,9
SLMAP,35.5,5
SPTLC2,35.5,9
TFAP2A,35.5,9
TXNDC9,35.5,8
VPS41,35.5,10
CCDC115,35.491,9
HTATSF1,35.487,10
SYVN1,35.464,9
NCKAP5L,35.442,10
IDH3A,35.396,9
SCGB1C1,35.371,6
DCTN6,35.361,10
AKR1B15,35.351,8
C15orf41,35.349,10
CMIP,35.333,10
STT3A,35.329,10
ATP6V1H,35.298,5
DEFB125,35.25,4
FAM35A,35.25,10
POTEI,35.25,5
RNF11,35.25,5
RPL39L,35.25,10
STK3,35.25,4
INTS7,35.217,10
RNF20,35.205,9
GTF3A,35.202,9
PGGT1B,35.199,7
KRR1,35.192,5
TBL3,35.18,9
LDLR,35.167,4
MBD2,35.167,9
MED24,35.167,10
PAX5,35.167,6
PIAS4,35.167,9
PIM2,35.167,3
RBM5,35.167,4
WDR92,35.167,5
ZMAT2,35.167,10
UBA2,35.154,4
ST3GAL6,35.136,5
UGP2,35.136,4
SRP14,35.107,5
EDC4,35.103,9
UTP14A,35.057,9
WDR3,35.042,10
TDP2,35.026,4
ATP2B1,35.014,5
TSEN54,34.97,9
EXOG,34.938,8
NEK2,34.938,4
STAM,34.938,9
SMC2,34.937,5
C19orf53,34.909,10
PIM1,34.875,3
SOS1,34.875,4
DHPS,34.783,4
TVP23C,34.771,6
NUPL2,34.769,9
ACIN1,34.759,5
BTBD7,34.75,9
MVK,34.733,5
CASC5,34.724,9
LEMD3,34.705,10
SGOL2,34.705,10
DEFB103A,34.694,5
OGDH,34.681,9
NDUFS1,34.679,1
NASP,34.675,9
THG1L,34.673,4
WDR74,34.654,10
MRPL34,34.653,4
PSMG3,34.643,10
ZRSR2,34.636,9
NDOR1,34.631,8
EZH2,34.625,4
NUBP2,34.606,10
LETM1,34.58,9
MNAT1,34.579,7
RBM18,34.563,10
FECH,34.538,4
ATP5C1,34.535,5
CYB5R4,34.528,8
PTDSS1,34.519,10
CENPQ,34.5,10
CKS2,34.5,4
LARP4,34.5,9
LCE3D,34.5,8
MAD2L2,34.465,9
DPM2,34.438,9
HNF1B,34.438,9
RASA2,34.438,8
SLC5A3,34.438,5
XRCC3,34.438,9
ZBTB7A,34.438,9
ZEB2,34.438,9
ANKRD52,34.406,10
CMC1,34.391,10
C3orf17,34.386,10
DHX36,34.358,5
ORC1,34.314,5
FDXR,34.301,9
SURF4,34.269,5
RARS,34.256,4
AURKAIP1,34.25,10
FDX1,34.25,4
HBS1L,34.25,5
TOMM7,34.25,10
TRRAP,34.24,8
RAD50,34.208,9
SIGLEC11,34.188,6
PDCD11,34.165,9
RILP,34.154,9
RNF103-CHMP3,34.113,5
FOSL1,34.112,8
TUBGCP5,34.056,10
NDUFA4,34.053,1
LRRC37A3,34.042,6
PDCD5,34.042,5
RANBP2,34.022,4
MRPL15,34,4
RING1,34,10
SCAF11,34,10
RRP12,33.989,9
PRDX3,33.978,5
KRTAP5-8,33.957,10
NDUFA10,33.956,1
URM1,33.918,5
KRBOX4,33.909,10
PIGC,33.909,9
RTTN,33.909,9
TAF8,33.875,10
TFB1M,33.875,10
NHLRC2,33.867,5
RPP14,33.86,10
TAZ,33.841,6
SPCS2,33.822,10
PNPT1,33.794,4
TRIM28,33.794,6
SPATA5L1,33.762,10
BCL2L12,33.75,10
FAIM,33.75,9
HTRA2,33.75,4
LANCL3,33.75,8
STK40,33.75,10
TAF4B,33.75,10
CMC2,33.722,9
RNMT,33.722,4
DHODH,33.708,1
DNAJC9,33.708,4
SUPT3H,33.708,10
TTC37,33.708,10
VBP1,33.708,10
YES1,33.708,1
ORC2,33.671,9
EAPP,33.667,10
MRPL47,33.639,4
ANKMY2,33.625,10
FAM136A,33.598,10
EIF3J,33.582,10
HUWE1,33.578,5
MRPS21,33.572,10
RRP1,33.565,9
POP4,33.557,9
FANCI,33.53,9
MYBBP1A,33.487,10
SLX4,33.481,10
UBE2N,33.474,4
GAK,33.432,4
MRPL4,33.406,4
CHERP,33.396,9
MRPS2,33.389,10
ANAPC11,33.388,9
NAA20,33.355,9
ATP2C1,33.344,8
DDX59,33.344,10
PKM,33.344,4
ABI1,33.313,5
ACTR3C,33.313,5
ARL8B,33.313,5
IQCB1,33.313,5
KCNJ9,33.313,5
MTCH2,33.313,5
NUFIP2,33.313,10
POU5F1,33.313,9
XAGE3,33.313,10
MAPRE1,33.3,6
DDX6,33.277,4
ACSL3,33.26,9
UFC1,33.26,5
FBXO42,33.244,10
OIP5,33.229,10
TELO2,33.188,6
MED18,33.165,10
MAP1LC3B,33.074,5
BORA,33.073,10
KRTAP9-6,33.069,10
RRP7A,33.059,10
CS,33.045,5
MCTS1,33.044,5
ALG14,33.034,10
GEMIN8,33.011,10
KIF22,33,6
LEO1,33,10
PRRC2C,33,9
UVRAG,33,9
BRD4,32.994,3
STRAP,32.992,10
LSM10,32.979,10
SOX9,32.979,9
NCAPH,32.976,9
NOL8,32.963,10
TARDBP,32.958,9
STRADB,32.926,10
DPH3,32.919,9
TM2D1,32.875,6
CHD8,32.865,10
NUP50,32.853,9
PPP1R7,32.853,5
PTK2,32.833,3
ERGIC2,32.808,9
TIMM22,32.77,9
CCNL1,32.753,9
ACAT2,32.75,5
ATM,32.75,7
CCDC144A,32.75,10
DDTL,32.75,5
FBXL3,32.75,10
GON4L,32.75,10
KLB,32.75,4
MRPL33,32.75,4
MRPS15,32.75,9
PABPC1L2B,32.75,5
PCBD1,32.75,5
RCOR1,32.75,4
SCARB2,32.75,4
SP3,32.75,9
ST13,32.75,5
XRCC4,32.75,4
ZNF443,32.75,9
LSM11,32.749,10
IST1,32.737,5
UBE2NL,32.737,5
AP1G1,32.716,10
NUP35,32.716,5
UBA3,32.689,4
ARID2,32.682,5
YAE1D1,32.643,10
GTF3C2,32.627,10
RAD17,32.627,9
PPP1R11,32.626,10
MTO1,32.625,10
COX5A,32.607,5
NOP2,32.595,9
CACYBP,32.583,4
CD300C,32.583,4
CDCA3,32.583,10
COCH,32.583,4
CTAG1A,32.583,4
LGALS9C,32.583,10
LPCAT3,32.583,9
MBD3,32.583,10
MPPE1,32.583,9
MRPS7,32.583,9
NDUFC1,32.583,1
RIPK3,32.583,6
SLC12A7,32.583,5
YJEFN3,32.583,10
ZDHHC11,32.583,6
RAB10,32.582,4
QRSL1,32.529,10
RABGGTA,32.529,5
NDUFB9,32.526,1
NOC4L,32.502,10
TTI1,32.486,10
ATP5L,32.481,5
HAUS2,32.476,10
PA2G4,32.457,5
POLR2M,32.449,7
GEMIN6,32.419,9
EEF1E1,32.417,4
PEX5,32.417,4
ZNF285,32.412,10
PDRG1,32.405,10
RBMXL1,32.388,10
ATP6V0B,32.382,10
FNBP4,32.353,10
MRPL43,32.338,4
SRC,32.318,1
EXOC3,32.3,10
ABCF1,32.25,10
ACLY,32.25,4
CTBP1,32.25,4
CYB5B,32.25,9
DOCK5,32.25,4
HAND2,32.25,9
NFKBIA,32.25,5
PPARG,32.25,1
SCLY,32.25,4
SIVA1,32.25,9
STAMBP,32.25,5
TGFBR2,32.25,4
TIPARP,32.25,8
TRAF7,32.25,5
UGCG,32.25,1
PNISR,32.244,9
BDP1,32.232,9
EXOC1,32.163,5
VTI1B,32.154,5
HIRA,32.082,5
CRCT1,32.079,10
ATP5G1,32.076,10
KANSL3,32.058,10
RPTOR,32.004,9
MAGED4,32,9
RHBDF1,32,9
NUP43,31.993,10
WDR46,31.946,9
ENY2,31.928,10
MED29,31.92,10
MED23,31.913,9
NSMCE1,31.907,10
ATF4,31.893,4
CTU1,31.876,9
PPP1R15B,31.876,4
GTF2H1,31.818,9
HSD17B12,31.813,8
Mar-05,31.801,10
RNPC3,31.794,10
FARS2,31.75,9
MCMDC2,31.75,10
XPOT,31.744,10
EMC3,31.735,6
NDUFB4,31.735,1
PDCD2,31.735,5
NDUFS8,31.727,1
DOLPP1,31.688,10
FANCE,31.688,9
PAK1,31.688,4
CEP55,31.682,5
PPP2R4,31.676,4
TAF1D,31.672,10
URB2,31.659,9
MRPS16,31.64,10
C12orf45,31.635,10
EPC1,31.611,10
SMG7,31.571,9
RABL2A,31.567,10
DDX3X,31.527,5
WTAP,31.51,10
ILF2,31.493,5
CUL3,31.484,5
TTC4,31.455,10
INTS8,31.451,10
NSUN4,31.382,4
CITED2,31.375,9
PDE4DIP,31.375,9
TM9SF3,31.375,6
NDC1,31.364,5
HSBP1,31.355,10
VEZF1,31.323,10
NDUFAF2,31.315,1
RPP30,31.291,10
MSMO1,31.278,5
PGS1,31.278,10
STAG2,31.278,4
UBE2Q1,31.278,10
EHMT2,31.214,4
THOC7,31.214,10
LAMTOR3,31.206,5
CNOT4,31.156,10
DAXX,31.156,4
PMVK,31.156,4
ADRBK1,31.125,4
ARHGEF12,31.125,5
EGLN1,31.125,4
KRTAP19-7,31.125,10
MST1,31.125,5
RLIM,31.125,10
ZNF320,31.125,10
GFER,31.094,6
FADD,31.083,5
DCTN5,31.064,10
SNAPC5,31.057,10
CDCA5,31.033,9
INTS5,31.033,10
ELP2,31.011,10
DERL1,31,9
GNB1,31,4
MRPL27,31,4
ORC4,31,9
UTP23,31,10
GFPT1,30.984,4
FBL,30.92,4
COX7C,30.89,10
BUB1,30.854,6
PPP3CB,30.846,8
C7orf55-LUC7L2,30.833,10
MAP2K4,30.833,5
NFS1,30.828,10
ATAD1,30.792,6
COX6B1,30.792,10
E2F1,30.792,9
TIAL1,30.792,5
ZNF217,30.792,4
EFR3A,30.771,4
PDAP1,30.745,5
GADD45GIP1,30.727,4
OSTC,30.721,6
LARP1,30.706,9
LRPPRC,30.659,9
DCTN4,30.641,10
ARL4A,30.639,5
GJA1,30.639,5
HAP1,30.639,9
NR2C2AP,30.609,5
ZBTB11,30.609,10
SLC39A7,30.603,10
HSP90AA1,30.583,4
AKTIP,30.578,4
SPATA5,30.539,9
DDX42,30.534,10
MED1,30.525,4
NMT1,30.52,4
CNOT11,30.5,10
NDUFS3,30.5,1
SUPT7L,30.5,9
USP36,30.486,9
NDUFAF7,30.472,5
ZCCHC7,30.472,10
LCMT1,30.427,4
ACTR3,30.419,5
GLRX5,30.385,4
PPP2R2A,30.383,10
UBA5,30.383,6
RHOQ,30.372,4
POP7,30.372,10
TTK,30.317,3
MIS12,30.316,9
FAM103A1,30.31,10
IPPK,30.306,9
FKBP1A,30.254,1
AKR1D1,30.25,4
C7orf34,30.25,4
EXTL2,30.25,5
KAT6A,30.25,3
TSPAN31,30.25,5
WDR59,30.25,10
TTF1,30.231,5
USP9X,30.191,7
NDUFA11,30.132,1
VARS2,30.129,8
ALG10B,30.096,6
CTAG1B,30.069,4
ALG9,30.063,10
FANCF,30.063,9
PHF23,30.063,10
SC5D,30.063,9
C12orf75,30.061,10
PRR13,30.049,10
NOSIP,30.047,10
GTF2H4,30.043,9
ATP6AP2,30.038,4
PRKAG1,30.031,4
PSMG2,30.02,10
ARHGEF7,30,8
DDX11,30,5
UFL1,29.992,10
TRMT6,29.981,10
TRNAU1AP,29.981,10
SLC33A1,29.967,5
NCAPD3,29.951,10
PGAM1,29.942,4
TOR1AIP2,29.932,4
STXBP3,29.929,4
MCMBP,29.927,5
BAP1,29.908,9
BZW1,29.875,9
CDC25A,29.875,7
IFITM3,29.864,5
RUNX2,29.864,9
MRGBP,29.848,10
DOHH,29.825,4
FBLIM1,29.813,10
TACC3,29.805,9
MTPAP,29.72,6
COX4I1,29.698,5
EIF3L,29.676,10
TMEM199,29.676,9
AADAT,29.667,4
ADCK2,29.667,6
ANAPC13,29.667,9
BIVM,29.667,5
CADM4,29.667,5
CD86,29.667,5
CETN2,29.667,6
COIL,29.667,9
DTWD1,29.667,10
GABARAP,29.667,4
GYPB,29.667,5
HSPE1-MOB4,29.667,10
ITSN2,29.667,5
RCHY1,29.667,9
SRRM2,29.667,9
NDUFA9,29.657,1
NOP9,29.649,10
GNL3L,29.645,10
FAM210A,29.558,6
ITGB1,29.558,2
TFAM,29.534,4
IPO9,29.5,10
TAGLN2,29.5,5
TAX1BP3,29.5,4
KIF18B,29.487,9
C19orf52,29.466,10
FOXK1,29.466,10
OBFC1,29.443,9
ASNS,29.442,9
COG3,29.432,10
HUS1,29.422,4
RPE,29.401,4
BNIP1,29.384,9
VPS53,29.381,9
SRP9,29.342,5
HNF4A,29.333,4
HSD17B10,29.333,4
KLF6,29.333,9
MAP3K2,29.333,7
MTA2,29.333,9
PDCD10,29.333,4
PITPNB,29.333,5
PPA2,29.333,5
SPNS1,29.333,10
VPS16,29.333,4
SRP72,29.308,9
COG1,29.298,10
DNAJC17,29.282,10
BRAT1,29.267,10
CARM1,29.25,4
DR1,29.238,10
SUGP1,29.228,10
EXTL3,29.227,9
SRSF10,29.212,10
CCDC51,29.188,6
UBE3D,29.188,10
PTMS,29.187,10
RBM10,29.162,8
NDUFB1,29.156,1
ZNF492,29.156,9
SKA2,29.153,9
SUMO2,29.149,9
POT1,29.109,9
FLII,29.1,10
GLRX,29.083,4
SMAD4,29.063,5
ACSL4,29.026,5
SMG1,29.023,7
MRPS22,29.016,10
GTF2F2,29.014,6
RICTOR,29.004,9
MIOS,29,10
LAMTOR4,28.969,10
RRAGC,28.969,4
TGFBRAP1,28.969,10
ZNF335,28.958,9
ARF3,28.938,5
CENPJ,28.938,4
ENAH,28.938,4
HYDIN,28.938,6
KHSRP,28.938,9
PUM2,28.938,9
SPANXN4,28.938,10
MAEA,28.925,4
AARS2,28.899,9
COQ3,28.885,9
NIPBL,28.875,5
DGCR8,28.854,9
FANCL,28.827,4
ATL2,28.826,9
GGTLC1,28.809,5
GINS3,28.801,10
NACA,28.792,5
FAR2,28.769,9
B4GALT7,28.75,4
CCDC6,28.75,9
CHUK,28.75,7
CNPY2,28.75,5
CWF19L1,28.75,10
EXT1,28.75,9
ITPA,28.75,4
MARK2,28.75,4
OAZ1,28.75,9
RIC8A,28.75,6
RSU1,28.75,5
TRMT61A,28.75,10
USE1,28.75,10
GABPB1,28.733,10
IFNA1,28.694,5
PQBP1,28.685,9
SFSWAP,28.67,9
XCL1,28.625,5
INTS3,28.622,10
TFB2M,28.615,10
STK11,28.604,4
WNK1,28.604,9
ZMYND8,28.604,9
RPAP2,28.599,9
SNX6,28.592,10
MRPL38,28.538,4
KMT2A,28.5,4
LIN28B,28.5,9
OTUD4,28.5,9
PRDX1,28.5,4
TBC1D20,28.5,6
UQCRFS1,28.5,10
SCYL1,28.458,9
COX6C,28.429,9
FOXM1,28.422,9
LDHA,28.338,4
TTI2,28.328,10
HIGD1A,28.321,9
NDUFB8,28.313,1
MAD2L1BP,28.298,10
PRKRIP1,28.293,5
ATXN7L3,28.273,10
GGNBP2,28.273,9
NCKAP1,28.273,4
NUP188,28.273,9
ZNF574,28.264,10
SDHB,28.23,5
RBL1,28.208,9
TMSB15A,28.208,9
TPTE2,28.208,9
INTS10,28.167,10
POC1A,28.167,10
ZFX,28.167,10
CMTR1,28.152,4
BCAP31,28.083,4
ROMO1,28.083,10
CPSF6,28.061,10
XPO5,28.05,6
GLUL,28.042,4
MT1A,28.042,9
ALDH9A1,28,5
SYCP1,28,9
CHMP5,27.99,5
ZC3H8,27.989,9
RTN4IP1,27.956,4
ELOF1,27.955,10
PIK3R4,27.942,6
NSMCE2,27.926,9
HSP90B1,27.907,4
C12orf49,27.875,4
DCAF15,27.875,10
DPCD,27.875,10
DYNC1LI1,27.875,5
EXT2,27.875,5
MAD1L1,27.875,9
MRPS18B,27.875,10
NFKBIE,27.875,9
PSIP1,27.875,4
RAB1B,27.875,4
RHOC,27.875,4
SEL1L,27.875,9
SLC20A1,27.875,5
TAPT1,27.875,6
TBC1D31,27.875,10
TGFBR1,27.875,4
MRPL37,27.829,4
TAF13,27.817,4
CCAR1,27.798,9
RAB1A,27.778,4
COG4,27.75,10
HEATR3,27.75,10
FXN,27.745,9
PELP1,27.734,9
MRPL23,27.724,4
NT5C3A,27.722,5
RGS13,27.722,8
DDA1,27.719,10
FUBP1,27.713,10
MRPL46,27.667,4
UBE2H,27.658,5
TFAP4,27.645,10
TMEM258,27.632,6
HMGB3,27.625,9
ZNF730,27.625,10
CLASRP,27.624,10
GPATCH1,27.618,10
MRPL10,27.607,4
CENPL,27.583,10
HSPA13,27.583,5
MIB1,27.583,6
HNRNPD,27.538,5
LCE2C,27.534,8
ALG5,27.51,9
ALG13,27.465,10
CSK,27.438,4
COX5B,27.422,5
BRPF1,27.389,4
OCIAD1,27.375,9
YEATS4,27.375,10
ILK,27.366,4
C7orf26,27.356,10
CTC1,27.314,10
REV3L,27.313,8
RRAGA,27.312,10
MRPL11,27.304,4
BTAF1,27.292,9
NRBF2,27.265,9
ATP5H,27.202,5
MRPS18A,27.202,4
CEP290,27.199,5
RAB6A,27.19,4
ISCA2,27.184,9
NDUFB10,27.157,1
PPP1R2,27.151,9
GTPBP8,27.146,10
NFATC2IP,27.146,9
SMARCD1,27.146,9
TEN1,27.146,10
MORF4L1,27.114,5
CSNK2A1,27.103,2
TEFM,27.103,9
MRPS10,27.088,10
RAB18,27.065,4
EIF3CL,27.027,10
CHTF18,27,10
EMC1,27,6
GNB2,27,5
MIPEP,27,10
NFRKB,27,9
PDS5B,27,4
PIK3R1,27,2
PPCS,27,5
RBM12,27,5
RSAD1,27,10
SLC25A28,27,9
VPS13D,27,5
ADAT3,26.964,10
MLST8,26.961,4
SSB,26.916,6
ATP6V1D,26.901,5
RMI1,26.881,4
TAF5L,26.875,10
METTL14,26.841,10
WDR55,26.825,9
TXNRD1,26.814,1
NDUFAB1,26.807,1
KIAA0100,26.781,4
ZCCHC6,26.781,10
SEC16A,26.76,10
ABHD17A,26.75,4
AK3,26.75,9
ANGPTL3,26.75,4
ATF2,26.75,9
C9orf85,26.75,10
CCNYL1,26.75,8
CHMP2B,26.75,5
CRIPT,26.75,10
DEFB128,26.75,4
DSEL,26.75,6
HNRNPA3,26.75,10
LYPLA1,26.75,5
MRPS9,26.75,10
NEK3,26.75,7
NUDCD3,26.75,9
PLA2G4B,26.75,5
PRKAR2A,26.75,4
PRR7,26.75,6
PSAT1,26.75,5
PSPC1,26.75,10
PXN,26.75,4
SCARF1,26.75,5
SPANXN3,26.75,9
TMEM123,26.75,5
UGT1A5,26.75,9
WFDC13,26.75,4
ZNF37A,26.75,9
ZNF83,26.75,9
AK4,26.737,4
COG7,26.724,10
RARS2,26.7,8
ATP5J,26.699,10
ATRIP,26.692,9
MAU2,26.682,10
NFU1,26.682,10
MRPL36,26.639,4
NAA30,26.625,10
MED19,26.611,10
RBM42,26.605,10
EIF2B1,26.599,5
PPAT,26.599,1
TOMM20,26.595,4
ANLN,26.588,9
CKAP2,26.583,9
CUL2,26.574,9
EIF3K,26.574,5
VEZT,26.529,6
C16orf72,26.517,10
NDUFS5,26.517,1
ASCC3,26.508,10
THAP11,26.508,5
PDSS1,26.462,9
PIK3C3,26.455,4
LAGE3,26.453,10
ARPC2,26.445,5
AP2A1,26.417,5
C1orf43,26.417,6
CCDC22,26.417,10
COA6,26.417,8
DUSP1,26.417,8
EXOC6,26.417,5
GRSF1,26.417,9
KCNQ5,26.417,1
METTL5,26.417,10
MSL1,26.417,10
MYO1G,26.417,4
POLG2,26.417,4
QRICH1,26.417,10
REV1,26.417,4
RFK,26.417,4
SETDB1,26.417,4
SP1,26.417,9
SRF,26.417,9
TMEM251,26.417,6
TSSC1,26.417,10
UNC45A,26.417,10
VMA21,26.417,10
YEATS2,26.417,10
NOLC1,26.355,9
TCOF1,26.331,9
NUDT4,26.318,9
TTF2,26.318,10
SLC3A2,26.284,5
TMEM183A,26.279,6
ACTR8,26.278,10
WBP1,26.258,10
VPS52,26.25,9
ARPC3,26.225,5
ULBP2,26.219,5
UBA6,26.192,9
CAND1,26.142,5
KIAA1524,26.125,9
MPRIP,26.125,10
RAB7A,26.125,4
RBM33,26.052,10
CLEC18B,26,6
COG6,26,9
EIF4ENIF1,26,10
MRPL19,26,4
SUPT20H,26,9
TIMMDC1,26,10
UFSP2,26,10
ZNF638,26,10
MIS18BP1,25.957,10
TRPM7,25.942,5
MRPS33,25.939,10
PDS5A,25.906,5
MRPL32,25.856,4
OSBP,25.819,9
ARMC5,25.783,10
INO80B,25.769,5
FCGR1B,25.766,4
LIMS3,25.76,10
MTRR,25.75,8
AUP1,25.688,5
BRMS1,25.688,9
CHCHD1,25.688,10
CNEP1R1,25.688,10
DCPS,25.688,4
EZR,25.688,4
KIAA1109,25.688,6
OTUB1,25.688,5
PCM1,25.688,9
SEC63,25.688,10
SETD5,25.688,10
SMCHD1,25.688,8
TP53BP2,25.688,9
XPNPEP3,25.688,5
ZC3H10,25.688,10
SLIRP,25.612,10
CBX3,25.559,9
HAPLN2,25.559,6
CHD1,25.519,9
HSF1,25.519,7
ACACA,25.48,5
MCPH1,25.461,9
AVPR1A,25.444,1
JMJD6,25.444,4
MRPL52,25.444,4
RAD9A,25.421,4
WASF2,25.375,5
SLC25A26,25.342,10
DROSHA,25.331,5
ARL1,25.323,4
F11R,25.25,4
GLMN,25.25,9
NOA1,25.25,10
SLC39A10,25.25,6
EP400,25.176,9
GTF2H2C,25.134,10
RPUSD4,25.128,10
KDM2A,25.107,4
MRPL22,25.091,4
MRPL51,25.091,4
POLQ,25.091,4
UFM1,25.091,5
DNAJA1,25.083,5
DICER1,25.063,5
BANP,25.048,9
KDM5C,25.044,4
COX17,25.036,9
SAFB,25.022,9
VPS54,25.022,9
BUB1B,24.958,9
COA3,24.958,10
DPH1,24.958,10
ERAL1,24.958,10
LIN37,24.958,10
PTTG1,24.934,9
MRPS14,24.927,10
PIP5K1A,24.9,5
CAPRIN1,24.882,5
DNAJB11,24.846,7
COQ2,24.832,10
MRPS27,24.826,10
C17orf89,24.813,10
VPS72,24.813,10
ESF1,24.806,5
TNPO1,24.796,4
GPN3,24.77,10
CHTOP,24.75,10
MPV17L2,24.75,6
RAP1B,24.75,4
TNS3,24.75,9
TSC22D2,24.715,9
ZNF593,24.715,10
MRPS28,24.693,10
NDUFAF1,24.693,1
SLC25A5,24.69,5
RANBP1,24.686,4
MRPS5,24.682,10
UQCRH,24.682,9
VPS45,24.667,9
ZNF236,24.634,10
AASDHPPT,24.629,5
PAICS,24.622,4
HOXD13,24.594,9
NAA35,24.594,9
ARMC10,24.578,10
GAB1,24.529,9
CDCA8,24.477,4
ARMCX6,24.472,6
ATAD5,24.472,9
C19orf25,24.472,10
N6AMT1,24.472,10
YTHDF2,24.472,4
SKAP2,24.421,5
CEP44,24.375,10
F8A3,24.341,9
DHRSX,24.295,4
NBAS,24.295,10
ST3GAL1,24.295,5
TMEM230,24.295,6
UXS1,24.295,4
YWHAZ,24.257,4
GTF2IRD2B,24.253,10
NUFIP1,24.253,10
TMEM126B,24.25,10
TUBG2,24.243,8
C2orf76,24.229,10
FCGR1A,24.2,4
KAT2A,24.2,3
EIF4H,24.191,7
C1orf131,24.182,10
BMPR1A,24.173,5
TRAIP,24.173,9
LAMTOR1,24.125,5
TADA3,24.125,9
NGRN,24.083,4
DIS3,24.03,10
RSPH10B2,24.015,10
PWP1,23.986,10
CAMLG,23.938,6
HEXIM1,23.898,6
RPRD1B,23.898,10
CSDE1,23.88,5
VCL,23.88,4
ZZZ3,23.88,10
EXOC2,23.872,5
POTEJ,23.833,5
NUP107,23.822,9
YWHAE,23.724,4
MED8,23.705,10
CPSF4,23.699,4
NF1,23.667,4
PRKACA,23.667,3
ZNF382,23.667,10
STIL,23.637,10
AHR,23.5,7
ARHGEF35,23.5,10
ATAD2,23.5,4
BARD1,23.5,6
BLM,23.5,4
C11orf85,23.5,10
C1QBP,23.5,5
CLTA,23.5,5
CMTR2,23.5,10
CNTNAP3B,23.5,6
COG2,23.5,10
DIDO1,23.5,10
DPH6,23.5,10
DSG2,23.5,4
ELAVL1,23.5,9
ERCC4,23.5,6
FOXA2,23.5,9
GNA12,23.5,5
GPR61,23.5,6
GPR89B,23.5,9
IL1R1,23.5,4
IPMK,23.5,10
KIF15,23.5,9
L3MBTL3,23.5,4
MAGOHB,23.5,9
MANF,23.5,4
MAP2K7,23.5,4
MESDC2,23.5,9
MTRF1L,23.5,10
NEK1,23.5,4
PEX6,23.5,10
PGRMC2,23.5,6
POLE4,23.5,9
PRDM10,23.5,10
PRKAG2,23.5,5
PRKCI,23.5,2
RAB35,23.5,4
RBM15,23.5,9
RMND1,23.5,9
SCNM1,23.5,9
SCO1,23.5,5
SLC25A46,23.5,10
SPTSSA,23.5,10
SREK1,23.5,10
TADA1,23.5,9
TAF4,23.5,9
TBRG4,23.5,9
TECR,23.5,10
TKT,23.5,4
TLK1,23.5,7
TM2D2,23.5,6
TRIM73,23.5,10
UBC,23.5,4
UBE4B,23.5,10
USB1,23.5,5
VWA9,23.5,10
XYLT2,23.5,9
ZC3H4,23.5,10
HAUS8,23.369,10
WAC,23.278,10
CHCHD3,23.213,5
TAF2,23.188,9
CIR1,23.135,9
C11orf73,23.12,10
ERCC6L,23.039,9
CLUH,22.938,10
RBM48,22.929,10
CWC25,22.917,10
EAF1,22.89,5
WDR5,22.888,4
CBLL1,22.827,9
EFNA3,22.827,5
PPP1R14B,22.816,10
MGAT1,22.771,5
MRPL48,22.771,4
ANKRD11,22.705,5
KANSL1,22.672,10
TLN1,22.667,5
DENR,22.644,9
FAM175A,22.625,10
RER1,22.625,8
SUMO1,22.625,4
LGALS9,22.589,4
COA5,22.563,10
CENPI,22.553,10
TIPIN,22.535,9
ANKRD49,22.528,10
C3orf38,22.528,10
CROCC,22.528,5
FKBPL,22.528,10
GRAP,22.528,8
ISYNA1,22.528,9
MED15,22.528,9
SERBP1,22.528,5
DNAJC8,22.495,5
AK6,22.471,4
C17orf96,22.406,10
COX8A,22.406,9
MRPL40,22.406,4
SLC35A2,22.406,9
KTI12,22.333,10
MRPS18C,22.318,10
MOB4,22.314,10
RPS6KB1,22.307,3
ORC3,22.275,9
EIF4B,22.25,9
FAM122A,22.25,10
KCNJ12,22.25,5
KIAA1143,22.25,10
RNF8,22.25,4
SAP130,22.25,9
SSR2,22.25,9
ZNF658,22.25,10
ZWILCH,22.25,9
MRPL54,22.213,10
ARHGAP29,22.208,9
VPS35,22.179,5
PPRC1,22.133,10
MRPL24,22.076,4
BCCIP,22.069,10
AK2,22.042,4
COQ7,22.042,10
EARS2,22.042,8
FAM98B,22.042,10
HYLS1,22.042,5
RANBP3,22.042,10
SETD1B,22.042,9
STIP1,22.042,9
TEAD4,22.042,9
VPS51,22.042,10
COX7B,21.989,10
DPY30,21.974,4
COMMD3,21.956,5
SPRR2G,21.943,5
EXOC4,21.909,5
UPK3BL,21.893,10
TDG,21.859,4
COX18,21.75,10
DPM1,21.75,9
GOSR1,21.75,9
MKRN1,21.75,10
MLX,21.75,7
PAG1,21.75,4
RBM7,21.75,10
YWHAG,21.75,5
SDHD,21.651,9
