Gene,Score,Bucket
MCRS1,49.075,10
RPAIN,49.07,9
ARIH1,49.046,5
HSPD1,49.024,5
RGP1,48.924,5
PRIM1,48.911,4
CPOX,48.882,4
PABPC1,48.86,4
SART1,48.841,9
EDF1,48.833,5
NAMPT,48.81,4
EXOSC8,48.795,10
TPRKB,48.764,5
CDS2,48.722,9
AATF,48.635,9
DDX24,48.626,10
JUNB,48.625,9
PSMD10,48.625,10
FAM32A,48.593,10
ATXN10,48.553,5
SRPRB,48.516,10
AHCYL1,48.455,5
EXOSC6,48.365,10
ARF1,48.352,4
DNM1L,48.274,4
PRKRA,48.26,9
CHAF1A,48.227,9
CDK2,48.202,2
DDX27,48.199,10
TADA2B,48.178,10
RBBP4,48.177,4
DCTN2,48.168,5
LRP8,48.139,5
UBE2G2,48.139,10
E2F3,48.11,9
ARID1B,48.063,5
SKA3,48.063,9
USP7,48,6
GLRX3,47.967,5
CDK4,47.958,1
NUP153,47.956,8
AP2M1,47.93,5
CCDC84,47.894,10
UTP18,47.853,9
UQCRC1,47.824,10
CHMP4B,47.811,5
PPIL1,47.797,5
ATP6V1F,47.79,5
FOXF1,47.75,9
NDUFA8,47.75,1
SKA1,47.716,9
ISG20L2,47.702,9
FIS1,47.653,9
VPS37A,47.647,10
CIAO1,47.558,9
SUZ12,47.558,4
ID2,47.432,9
SSBP1,47.397,5
CRLS1,47.363,10
CNOT3,47.344,9
GATA6,47.333,9
RAD51B,47.333,9
SMG5,47.317,9
CSTF2,47.313,10
GPX4,47.279,5
ARGLU1,47.278,10
DHFR,47.239,1
UMPS,47.222,4
MED9,47.214,10
AHCY,47.188,4
ATF6,47.167,9
CUL4A,47.167,5
IRS1,47.167,4
MEF2C,47.167,9
PPME1,47.167,7
TRERF1,47.167,9
USP18,47.167,9
DDOST,47.093,5
HMGCR,47.063,1
INTS1,47.04,9
PLK4,47.036,3
C10orf2,47.013,4
COQ4,47.009,9
SMC1A,46.997,9
MRPS26,46.969,10
NDRG3,46.969,5
TPI1,46.924,4
MPI,46.885,5
SYS1,46.884,10
KIFC1,46.875,7
DGCR14,46.862,9
FBXW11,46.834,9
IRF8,46.833,9
ICT1,46.791,4
UBE2D3,46.768,4
ARID1A,46.75,9
MAFG,46.75,9
GEMIN5,46.692,10
TINF2,46.688,9
NOL12,46.675,10
CDK12,46.67,2
SKP1,46.652,4
CEPT1,46.647,9
NOL11,46.614,10
WWTR1,46.571,9
PYROXD1,46.514,9
MTHFD1,46.514,4
C16orf59,46.5,10
TRAF2,46.446,5
TFAP2C,46.438,9
USP14,46.438,4
PNKP,46.422,9
MARS2,46.418,10
VPS4B,46.4,5
TRIP13,46.361,9
TUFM,46.354,5
PARS2,46.333,9
SLC38A2,46.328,4
NOTCH2NL,46.324,4
NRBP1,46.298,8
SOD1,46.27,4
MOCS3,46.261,8
PPP2R3C,46.23,9
IKBKAP,46.188,9
NUP98,46.157,4
BUD13,46.151,10
RRP15,46.138,10
DPF2,46.105,10
SLC4A7,46.051,5
SAE1,46.045,4
SYNCRIP,46.026,9
AGR2,46,4
GRHL2,46,10
IPO5,46,10
KIDINS220,46,6
SDHAF1,46,10
SPPL3,46,5
THAP3,46,10
SRRM1,45.974,6
USP8,45.958,4
DDX19A,45.917,10
YTHDC1,45.906,5
MYH9,45.897,5
ELL2,45.875,9
KPNA2,45.875,4
METTL17,45.875,10
NSRP1,45.875,10
PMM2,45.875,4
PRPF4B,45.875,4
GPS1,45.861,10
GRWD1,45.836,9
TOMM22,45.751,9
RTCB,45.75,10
EIF3E,45.73,5
ELP3,45.708,10
KBTBD2,45.708,10
YPEL5,45.708,5
TGS1,45.691,4
JTB,45.645,5
UAP1,45.645,4
RNF4,45.639,4
TOE1,45.625,9
ATG9A,45.618,9
NCAPH2,45.6,5
GPI,45.596,4
TCF7L2,45.596,7
CSNK2B,45.581,4
CCDC174,45.575,10
CCDC59,45.565,10
ATIC,45.563,4
DLD,45.53,4
GLTSCR2,45.507,10
FBXO7,45.5,9
PARD3,45.5,4
MRPS30,45.422,4
CENPA,45.395,9
NDE1,45.391,10
POM121C,45.36,10
HDAC2,45.344,1
CD46,45.328,4
WDR82,45.327,9
DDX52,45.239,10
SUPT4H1,45.239,4
DDI2,45.222,9
PFDN6,45.213,9
BCL2L1,45.211,2
SLC7A1,45.196,5
YRDC,45.168,6
MTOR,45.161,2
NPM1,45.161,7
RFWD2,45.146,10
DYNLRB1,45.141,6
GET4,45.104,10
USP1,45.059,7
CTNNBL1,45.042,9
CCNF,45,9
SETD2,45,4
SLC25A40,45,10
PTAR1,44.979,8
AHCTF1,44.969,5
MMS19,44.961,9
SLC7A5,44.959,5
XRN2,44.956,9
