AAAS
ACIN1
ACTB
ACTL6B
ADAM12
ADAMTS13
ADRM1
AGAP2
AGBL5
AHCTF1
AK8
ANKRD20A4
ANKRD35
APITD1
ARAP1
ARIH2
ARL8B
ARMC12
ASUN
ATG2A
ATP6V1F
AUNIP
BPTF
BRD9
BRIP1
BRSK2
BTBD2
BUB1
C6orf136
CAND2
CBWD1
CBWD3
CBWD5
CBWD6
CCAR2
CCDC180
CCDC58
CCNF
CCNG1
CCT8
CD200
CD27
CDC7
CDHR1
CDIPT
CEPT1
CHORDC1
CLCN6
CLEC11A
CLEC18C
CMTM5
COQ6
COX11
COX14
COX17
COX20
CREB1
CSDC2
CSMD2
CTAGE4
CTAGE9
CTIF
CUL5
CXXC1
CYCS
DDR1
DGKI
DHX30
DNAI1
DNAJC21
DNM1
DOHH
EDC4
EIF1AX
EIF3C
EIF3CL
ELN
ENY2
EXOC7
F2
FAAP100
FADS3
FAM136A
FAM72B
FAM92B
FANCD2
FANCL
FASN
FASTKD5
FBXO5
FBXW7
FDXR
FECH
FGA
FIGNL1
FOXD4L4
FOXD4L6
FRG2C
FTSJ2
FXN
GABPA
GAPDH
GATAD2A
GMEB1
GPR31
GPR61
GRSF1
GTF2H1
GTPBP10
H2AFZ
H3F3A
HHAT
HIST1H2AI
HIST1H2AJ
HIST1H2BC
HIST1H2BD
HIST1H2BL
HIST1H2BN
HIST1H3B
HIST2H2BE
HIST2H3A
HIST2H3C
HIST2H3D
HLA-DOB
HMGB1
HNRNPC
HSPB2
HSPD1
HSPE1
HYPK
ICT1
IL27
IPO4
IRS2
ISY1-RAB43
JMJD6
KAT5
KCNJ10
KCTD21
KDM4A
KIAA1211
KIF19
KL
KLHL3
KNDC1
LIN37
LMOD3
LRCH2
LRIT2
LRP10
LRWD1
LSM8
MAP3K1
MAPRE1
MAVS
MBD1
MBOAT7
MBTPS1
MCM9
MED8
MFSD12
MICU3
MLLT4
MLX
MROH7
MRPL24
MRPL33
MRPL48
MRPL57
MRPS16
MST1
MT2A
MTRNR2L8
MUC1
MUC3A
MYCBP
MYH4
MYLK2
MYT1L
NAT9
NDUFA10
NDUFA4
NDUFA8
NDUFB4
NSMCE3
NUP50
OSBPL7
OSBPL9
PAM16
PARG
PARP1
PDCD2
PDCL3
PGAM1
PHF5A
PHYKPL
PIK3C2B
PITRM1
PLEKHN1
POLQ
POLR2J
POLR3E
POLR3G
POU5F1
PPIAL4D
PPP1CC
PPP1R12A
PPP1R16A
PPP1R2
PPP2R2A
PPP2R3C
PPP4R2
PRELID1
PRODH
PRUNE
PTBP1
PTCH2
PTMA
PUM3
PURG
PWP1
PYROXD1
RACK1
RAD54L
RAPH1
RASA3
RBM14-RBM4
RBM39
RBM8A
RBX1
RDH10
REV3L
RNF103-CHMP3
RNF25
RPL14
RPL17
RPL27
RPL32
RPL35
RPL35A
RPL36
RPL39L
RPL5
RPL7A
RPLP1
RPRD1B
RPS14
RPS15
RPS16
RPS19
RPS20
RPS25
RPS3
RPS3A
RPS6
RPS8
RRP7A
S100P
SALL1
SAR1A
SCAP
SDE2
SDHD
SDK1
SEMA6B
SERPINE3
SERPING1
SETD1B
SETD6
SGF29
SKIV2L
SLC25A51
SLC27A4
SLC4A11
SLC5A5
SLC6A12
SLC7A5
SMAP2
SMG7
SNAP23
SNAPC5
SNRNP40
SNRPD1
SNRPG
SNU13
SNX17
SP1
SP8
SPAG11A
SPATA31A3
SPCS2
SPRY2
SPTBN4
SPTLC2
SRSF3
STAC3
STAT5A
STIP1
STRA13
STT3A
SULT1A3
SULT1A4
SYNC
SYTL1
SZRD1
TADA2A
TAF3
TAZ
TBC1D10C
TBRG4
TDP1
TECR
TFAP4
TGFBRAP1
THAP12
THAP4
TM9SF1
TMED9
TPI1
TRAF4
TRIM24
TRIM68
TRIM74
TTC37
TTL
TUBA1B
TUBA8
TXNDC17
UBE2C
UBE2G2
UBE2S
UBE2Z
UCHL5
UFL1
UNC93A
UQCRH
USP1
USP17L21
USP19
VAC14
VRTN
WAC
WAPL
WDR1
WDR76
WDR89
WNT3
ZBTB42
ZC3H11A
ZCCHC14
ZFAT
ZGLP1
ZMIZ1
ZMYND8
ZNF250
ZNF322
ZNF347
ZNF445
ZNF446
ZNF536
ZNF581
ZNF648
ZNF837
ZSCAN10
ZSCAN2
