	X
PRKD2	Kinase
PRKD3	Kinase
PRKDC	Kinase
PRKG1	Kinase
PRKG2	Kinase
PRKX	Kinase
PRKY	Kinase
PRNP	Surface
PROCR	Surface
PROM1	Surface
PROM2	Surface
PROX1	TF
PRPF4B	Kinase
PRSS23	Surface
PRSS35	Surface
PSAP	Surface
PSKH1	Kinase
PSKH2	Kinase
PTAFR	Surface
PTBP1	Surface
PTCH1	Surface
PTF1A	TF
PTGER2	Surface
PTGER3	Surface
PTGFRN	Surface
PTGIR	Surface
PTGS2	Surface
PTK2	Kinase
PTK2B	Kinase
PTK6	Kinase
PTK7	Surface
PTMA	TF
PTPRA	Surface
PTPRB	Surface
PTPRC	Surface
PTPRD	Surface
PTPRF	Surface
PTPRG	Surface
PTPRJ	Surface
PTPRK	Surface
PTPRM	Surface
PTPRQ	Surface
PTPRS	Surface
PTPRZ1	Surface
PTTG1	TF
PTTG1IP	Surface
PURA	TF
PVR	Surface
PVRL1	Surface
PVRL2	Surface
PVRL3	Surface
PXDN	Surface
PXK	Kinase
QSOX1	Surface
QSOX2	Surface
RAB5C	Surface
RAD51	TF
RAET1G	Surface
RAF1	Kinase
RALY	Surface
RAMP3	Surface
RARA	TF
RARB	TF
RARG	TF
RB1	TF
RB1CC1	TF
RBBP7	TF
RBL1	TF
RBL2	TF
RBMX	TF
RBPJ	TF
RCN1	Surface
RCN3	Surface
RECK	Surface
REL	TF
RELA	TF
RELB	TF
RELL1	Surface
RERG	Surface
REST	TF
RET	Surface
RFNG	Surface
RFWD2	TF
RFX1	TF
RFX2	TF
RFX3	TF
RFX5	TF
RFXANK	TF
RFXAP	TF
RHBDF2	Surface
RIOK1	Kinase
RIOK2	Kinase
RIOK3	Kinase
RIPK1	Kinase
RIPK2	Kinase
RIPK3	Kinase
RIPK4	Kinase
RNASEL	Kinase
RNF13	Surface
RNF130	Surface
RNF14	TF
RNF149	Surface
ROBO1	Surface
ROCK1	Kinase
ROCK2	Kinase
ROR1	Surface
ROR2	Surface
RORA	TF
RORC	TF
ROS1	Kinase
RPL17	Surface
RPL18	Surface
RPL19	Surface
RPL21	Surface
RPL27A	Surface
RPL28	Surface
RPL3	Surface
RPL32	Surface
RPL35	Surface
RPL35A	Surface
RPL37A	Surface
RPL9	Surface
RPLP2	Surface
RPN1	Surface
RPN2	Surface
RPS15A	Surface
RPS23	Surface
RPS6KA1	Kinase
RPS6KA2	Kinase
RPS6KA3	Kinase
RPS6KA4	Kinase
RPS6KA5	Kinase
RPS6KA6	Kinase
RPS6KB1	Kinase
RPS6KB2	Kinase
RPS6KC1	Kinase
RPS6KL1	Kinase
RREB1	TF
RSL1D1	Surface
RTN4	Surface
RTN4R	Surface
RUNX1	TF
RUNX1T1	TF
RUNX2	TF
RUNX3	TF
RUVBL1	TF
RXRA	TF
RYK	Surface
RYR3	Surface
S1PR1	Surface
S1PR2	Surface
S1PR3	Surface
S1PR4	Surface
S1PR5	Surface
SALL3	TF
SALL4	TF
SALL4A	TF
SATB1	TF
SATB2	TF
SBK1	Kinase
SBK2	Kinase
SBK3	Kinase
SC65	Surface
SCAND1	TF
SCAP	Surface
SCARA3	Surface
SCARA5	Surface
SCARB1	Surface
SCARB2	Surface
SCARF2	Surface
SCD5	TF
SCN2A	Surface
SCN2B	Surface
SCN4B	Surface
SCN7A	Surface
SCNN1D	Surface
SCYL1	Kinase
SCYL2	Kinase
SCYL3	Kinase
SDK1	Surface
SDK2	Surface
SEC14L2	TF
SEC22B	Surface
SEL1L	Surface
SEL1L3	Surface
SELL	Surface
SELP	Surface
SELPLG	Surface
SEMA3A	Surface
SEMA3C	Surface
SEMA4A	Surface
SEMA4B	Surface
SEMA4C	Surface
SEMA4D	Surface
SEMA4F	Surface
SEMA4G	Surface
SEMA5A	Surface
SEMA6B	Surface
SEMA7A	Surface
SERINC1	Surface
SERPINA1	Surface
SERPINA3	Surface
SERPINB2	Surface
SERPINE2	Surface
SERPINF1	Surface
SERPING1	Surface
SERPINH1	Surface
SERPINI1	Surface
SERTAD1	TF
SETBP1	TF
SEZ6L2	Surface
SF1	TF
SFPQ	TF
SFRS3	Surface
SGCB	Surface
SGCD	Surface
SGCE	Surface
SGCZ	Surface
SGK1	Kinase
SGK196	Surface
SGK2	Kinase
SGK3	Kinase
SGK494	Kinase
SHOX	TF
SHOX2	TF
SIDT2	Surface
SIGLEC1	Surface
SIGLEC10	Surface
SIGLEC12	Surface
SIGLEC5	Surface
SIGLEC6	Surface
SIGLEC7	Surface
SIGLEC9	Surface
SIK1	Kinase
SIK2	Kinase
SIK3	Kinase
SIL1	Surface
SILV	Surface
SIM2	TF
SIN3A	TF
SIRPA	Surface
SIRPB1	Surface
SIRPG	Surface
SIRT1	TF
SIRT2	TF
SIRT3	TF
SIX1	TF
SKI	TF
SKIL	TF
SLA2	TF
SLAMF1	Surface
SLAMF6	Surface
SLAMF7	Surface
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
SLC2A4RG	TF
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
SLIT2	Surface
SLIT3	Surface
SLITRK2	Surface
SLITRK3	Surface
SLITRK4	Surface
SLITRK6	Surface
SLK	Kinase
SMAD1	TF
SMAD2	TF
SMAD3	TF
SMAD4	TF
SMAD7	TF
SMARCA1	TF
SMARCA4	TF
SMARCB1	TF
SMG1	Kinase
SMG6	TF
SMO	Surface
SMPD1	Surface
SMPDL3B	Surface
SMURF2	TF
SNAI1	TF
SNAI2	TF
SND1	TF
SNIP1	TF
SNRK	Kinase
SNRPD2	Surface
SNW1	TF
SORCS1	Surface
SORCS2	Surface
SORL1	Surface
SORT1	Surface
SOX10	TF
SOX11	TF
SOX17	TF
SOX2	TF
SOX4	TF
SOX5	TF
SOX6	TF
SOX9	TF
SP1	TF
SP100	TF
SP2	TF
SP3	TF
SP4	TF
SP7	TF
SPANXB1	Surface
SPDEF	TF
SPEG	Kinase
SPEN	TF
SPI1	TF
SPIB	TF
SPIC	TF
SPPL2A	Surface
SPPL2B	Surface
SQRDL	Surface
SRC	Kinase
SRCAP	TF
SREBF1	TF
SREBF2	TF
SRF	TF
SRMS	Kinase
SRPK1	Kinase
SRPK2	Kinase
SRPK3	Kinase
SRSF1	TF
SRY	TF
SSB	TF
SSR1	Surface
SSR2	Surface
SSX2	TF
ST14	Surface
ST3GAL1	Surface
ST3GAL4	Surface
ST3GAL5	Surface
ST3GAL6	Surface
ST6GALNAC3	Surface
ST8SIA4	Surface
STAB1	Surface
STAT1	TF
STAT2	TF
STAT3	TF
STAT4	TF
STAT5	TF
STAT5A	TF
STAT5B	TF
STAT6	TF
STEAP4	Surface
STIM1	Surface
STK10	Kinase
STK11	Kinase
STK16	Kinase
STK17A	Kinase
STK17B	Kinase
STK24	Kinase
STK25	Kinase
STK26	Kinase
STK3	Kinase
STK31	Kinase
STK32A	Kinase
STK32B	Kinase
STK32C	Kinase
STK33	Kinase
STK35	Kinase
STK36	Kinase
STK38	Kinase
STK38L	Kinase
STK39	Kinase
STK4	Kinase
STK40	Kinase
STKLD1	Kinase
STRADA	Kinase
STRADB	Kinase
STS	Surface
STT3A	Surface
STT3B	Surface
STYK1	Kinase
SUCNR1	Surface
SUGP1	TF
SULF1	Surface
SULF2	Surface
SUMF1	Surface
SUPT3H	TF
SUSD1	Surface
SUSD2	Surface
SUSD5	Surface
SUZ12	TF
SV2A	Surface
SYK	Kinase
SYPL1	Surface
TACSTD2	Surface
TAF1	TF
TAF4	TF
TAF5	TF
TAGLN2	Surface
TAL1	TF
TAOK1	Kinase
TAOK2	Kinase
TAOK3	Kinase
TBC1D22A	TF
TBCK	Kinase
TBK1	Kinase
TBL1X	TF
TBP	TF
TBPL1	TF
TBR1	TF
TBX2	TF
TBX20	TF
TBX21	TF
TBX3	TF
TBX5	TF
TBXA2R	Surface
TCF12	TF
TCF19	TF
TCF3	TF
TCF4	TF
TCF7	TF
TCF7L2	TF
TCFL5	TF
TCRB	Surface
TCTN2	Surface
TEAD1	TF
TEAD4	TF
TEC	Kinase
TEF	TF
TEK	Surface
TESK1	Kinase
TESK2	Kinase
TEX14	Kinase
TF	Surface
TFAP2A	TF
TFAP2B	TF
TFAP2C	TF
TFAP4	TF
TFCP2	TF
TFCP2L1	TF
TFDP1	TF
TFDP3	TF
TFEB	TF
TFPI	Surface
TFPI2	Surface
TFPT	TF
TFRC	Surface
TGFB1	Surface
TGFBR1	Kinase
TGFBR2	Surface
TGFBR3	Surface
TGIF1	TF
THBD	Surface
THBS1	Surface
THBS2	Surface
THBS3	Surface
THRA	TF
THRB	TF
THSD1	Surface
THSD4	Surface
THSD7A	Surface
THY1	Surface
TIAL1	TF
TIE1	Surface
TIGIT	Surface
TIMP1	Surface
TLE3	TF
TLK1	Kinase
TLK2	Kinase
TLL1	Surface
TLL2	Surface
TLR1	Surface
TLR2	Surface
TLR3	Surface
TLR4	Surface
TLR9	Surface
TLX1	TF
TM2D1	Surface
TM2D3	Surface
TM9SF1	Surface
TM9SF3	Surface
TMC7	Surface
TMCO3	Surface
TMED4	Surface
TMED7	Surface
TMED9	Surface
TMEFF1	Surface
TMEM104	Surface
TMEM106B	Surface
TMEM106C	Surface
TMEM131	Surface
TMEM132A	Surface
TMEM132B	Surface
TMEM132E	Surface
TMEM156	Surface
TMEM179B	Surface
TMEM181	Surface
TMEM194A	Surface
TMEM2	Surface
TMEM200B	Surface
TMEM206	Surface
TMEM25	Surface
TMEM26	Surface
TMEM30A	Surface
TMEM30B	Surface
TMEM63A	Surface
TMEM63B	Surface
TMEM63C	Surface
TMEM87A	Surface
TMEM87B	Surface
TMEM8A	Surface
TMEM9	Surface
TMIGD2	Surface
TMPRSS5	Surface
TMX3	Surface
TMX4	Surface
TNC	Surface
TNFAIP3	TF
TNFRSF11A	Surface
TNFRSF11B	Surface
TNFRSF13B	Surface
TNFRSF14	Surface
TNFRSF17	Surface
TNFRSF1A	Surface
TNFRSF21	Surface
TNFRSF25	Surface
TNFRSF8	Surface
TNFRSF9	Surface
TNFSF18	Surface
TNIK	Kinase
TNK1	Kinase
TNK2	Kinase
TNNI3K	Kinase
TNXB	Surface
TOB1	TF
TOP2B	TF
TOR1AIP1	Surface
TOR1AIP2	Surface
TOR1B	Surface
TOR3A	Surface
TP53	TF
TP53BP1	TF
TP53RK	Kinase
TP63	TF
TP65	TF
TP73	TF
TPBG	Surface
TPI1	Surface
TPP1	Surface
TPTE	Surface
TRAC	Surface
TRAF6	TF
TRAP1	Surface
TRBC1	Surface
TRBV12-3	Surface
TRERF1	TF
TRHDE	Surface
TRHR	Surface
TRIB1	Kinase
TRIB2	Kinase
TRIB3	Kinase
TRIM16	TF
TRIM22	TF
TRIM25	TF
TRIM28	TF
TRIO	Kinase
TRIP6	TF
TRPC6	Surface
TRPM6	Kinase
TRPM7	Kinase
TRPS1	TF
TRPV2	Surface
TRRAP	TF
TSC22D1	TF
TSC22D3	TF
TSG101	TF
TSHR	Surface
TSPAN1	Surface
TSPAN13	Surface
TSPAN14	Surface
TSPAN15	Surface
TSPAN18	Surface
TSPAN2	Surface
TSPAN3	Surface
TSPAN31	Surface
TSPAN33	Surface
TSPAN4	Surface
TSPAN6	Surface
TSPAN8	Surface
TSPAN9	Surface
TSSK1B	Kinase
TSSK2	Kinase
TSSK3	Kinase
TSSK4	Kinase
TSSK6	Kinase
TTBK1	Kinase
TTBK2	Kinase
TTC17	Surface
TTF2	TF
TTK	Kinase
TTMA	Surface
TTN	Kinase
TTYH2	Surface
TTYH3	Surface
TUBA4A	Surface
TUBB	Surface
TUBB2C	Surface
TUBB4	Surface
TUBB6	Surface
TWIST1	TF
TWIST2	TF
TXK	Kinase
TXNDC15	Surface
TYK2	Kinase
TYR	Surface
TYRO3	Surface
TYRP1	Surface
UBA1	Surface
UBP1	TF
UBTF	TF
UGGT1	Surface
UGGT2	Surface
UGT1A9	Surface
UGT8	Surface
UHMK1	Kinase
UHRF1	TF
ULBP2	Surface
ULBP3	Surface
ULK1	Kinase
ULK2	Kinase
ULK3	Kinase
ULK4	Kinase
UNC5A	Surface
UNC5B	Surface
UNC5C	Surface
UNC84A	Surface
UNC84B	Surface
UNQ870/PRO1886	Surface
UPF1	TF
UPF2	TF
UQCRC2	Surface
URI1	TF
USF1	TF
USF2	TF
UST	Surface
UTF1	TF
VAMP5	Surface
VASN	Surface
VCAM1	Surface
VCAN	Surface
VDAC1	Surface
VDAC2	Surface
VDR	TF
VEGFC	Surface
VEZF1	TF
VHL	TF
VIM	Surface
VIPR1	Surface
VNN1	Surface
VNN2	Surface
VRK1	Kinase
VRK2	Kinase
VRK3	Kinase
VSTM1	Surface
VTN	Surface
VWF	Surface
WBSCR17	Surface
WDR13	Surface
WDR5	TF
WEE1	Kinase
WEE2	Kinase
WHSC1	TF
WNK1	Kinase
WNK2	Kinase
WNK3	Kinase
WNK4	Kinase
WNT11	Surface
WNT5A	Surface
WNT5B	Surface
WT1	TF
WWP1	TF
WWTR1	TF
XBP1	TF
XPC	TF
XRCC5	TF
XRCC6	Surface
YBX1	Surface
YEATS4	TF
YES1	Kinase
YWHAQ	Surface
YY1	TF
ZAP70	Kinase
ZBTB14	TF
ZBTB16	TF
ZBTB17	TF
ZBTB2	TF
ZBTB5	TF
ZBTB7A	TF
ZC3HAV1	Surface
ZDHHC23	Surface
ZDHHC5	Surface
ZEB1	TF
ZEB2	TF
ZFHX3	TF
ZFP36	TF
ZFP36L1	TF
ZHX2	TF
ZIC1	TF
ZIC2	TF
ZIC3	TF
ZMYND11	TF
ZNF143	TF
ZNF148	TF
ZNF160	TF
ZNF175	TF
ZNF202	TF
ZNF217	TF
ZNF224	TF
ZNF239	TF
ZNF24	TF
ZNF267	TF
ZNF300	TF
ZNF335	TF
ZNF350	TF
ZNF382	TF
ZNF383	TF
ZNF410	TF
ZNF423	TF
ZNF444	TF
ZNF76	TF
ZNF844	Surface
ZNRD1	TF
ZP4	Surface
SLC6A4	SLC
SLC6A3	SLC
SLC2A1	SLC
SLC25A8	SLC
SLC4A1	SLC
SLCO1B1	SLC
SLC26A4	SLC
SLC30A8	SLC
SLC6A2	SLC
SLC9A1	SLC
SLC19A1	SLC
SLC25A9	SLC
SLC11A1	SLC
SLC2A4	SLC
SLC3A2	SLC
SLC22A5	SLC
SLC40A1	SLC
SLC25A4	SLC
SLC22A4	SLC
SLC5A5	SLC
SLC1A2	SLC
SLC29A1	SLC
SLC16A1	SLC
SLC25A7	SLC
SLC7A5	SLC
SLC22A1	SLC
SLC25A5	SLC
SLCO1B3	SLC
SLC2A9	SLC
SLC12A3	SLC
SLC1A1	SLC
SLC8A1	SLC
SLC11A2	SLC
SLC25A13	SLC
SLC22A2	SLC
SLC9A3	SLC
SLC18A2	SLC
SLC5A1	SLC
SLC1A3	SLC
SLC25A6	SLC
SLC2A3	SLC
SLC12A2	SLC
SLC15A1	SLC
SLC2A2	SLC
SLC4A4	SLC
SLC1A5	SLC
SLC22A12	SLC
SLC23A2	SLC
SLC22A3	SLC
SLC25A3	SLC
SLC22A6	SLC
SLC4A2	SLC
SLC23A1	SLC
SLC19A2	SLC
SLC46A1	SLC
SLC16A2	SLC
SLC45A2	SLC
SLC10A2	SLC
SLC31A1	SLC
SLC6A8	SLC
SLC7A11	SLC
SLC3A1	SLC
SLC25A50	SLC
SLC25A12	SLC
SLC25A1	SLC
SLC25A11	SLC
SLC6A1	SLC
SLC6A6	SLC
SLC7A1	SLC
SLC26A3	SLC
SLC37A4	SLC
SLC39A4	SLC
SLC12A1	SLC
SLC14A1	SLC
SLC16A4	SLC
SLC20A1	SLC
SLC7A9	SLC
SLC26A2	SLC
SLC17A5	SLC
SLC38A2	SLC
SLCO1A2	SLC
SLCO2B1	SLC
SLC25A10	SLC
SLC26A5	SLC
SLC42A1	SLC
SLC22A11	SLC
SLC28A1	SLC
SLC1A4	SLC
SLC28A3	SLC
SLC4A11	SLC
SLC10A1	SLC
SLC12A5	SLC
SLC22A8	SLC
SLC12A4	SLC
SLC12A6	SLC
SLC15A2	SLC
SLC29A2	SLC
SLC4A7	SLC
SLC5A6	SLC
SLC19A3	SLC
SLC27A4	SLC
SLC30A1	SLC
SLC34A1	SLC
SLC39A1	SLC
SLC39A2	SLC
SLC49A1	SLC
SLC5A8	SLC
SLC6A9	SLC
SLC20A2	SLC
SLC47A1	SLC
SLC25A20	SLC
SLC34A2	SLC
SLC36A1	SLC
SLC39A14	SLC
SLC39A6	SLC
SLC39A7	SLC
SLC38A1	SLC
SLC6A5	SLC
SLC9A6	SLC
SLC25A27	SLC
SLC26A6	SLC
SLC28A2	SLC
SLC2A5	SLC
SLC44A1	SLC
SLC8A3	SLC
SLC42A2	SLC
SLC16A7	SLC
SLC22A18	SLC
SLC25A15	SLC
SLC27A2	SLC
SLC7A7	SLC
SLC42A3	SLC
SLC29A3	SLC
SLC17A1	SLC
SLC24A2	SLC
SLC2A10	SLC
SLC30A7	SLC
SLC44A2	SLC
SLC9A2	SLC
SLC12A7	SLC
SLC18A1	SLC
SLC52A3	SLC
SLC7A2	SLC
SLC9A9	SLC
SLC25A49	SLC
SLC27A1	SLC
SLC30A4	SLC
SLC5A2	SLC
SLC5A7	SLC
SLCO1C1	SLC
SLCO2A1	SLC
SLC16A3	SLC
SLC18A3	SLC
SLC25A19	SLC
SLC26A9	SLC
SLC7A8	SLC
SLC13A3	SLC
SLC13A5	SLC
SLC25A17	SLC
SLC30A5	SLC
SLC39A8	SLC
SLC5A3	SLC
SLC6A13	SLC
SLC14A2	SLC
SLC15A4	SLC
SLC25A22	SLC
SLC6A14	SLC
SLCO3A1	SLC
SLC16A9	SLC
SLC17A6	SLC
SLC17A7	SLC
SLC24A5	SLC
SLC25A31	SLC
SLC35A1	SLC
SLC38A3	SLC
SLC39A11	SLC
SLC6A12	SLC
SLC17A3	SLC
SLC25A14	SLC
SLC35A2	SLC
SLC35C2	SLC
SLC44A4	SLC
SLC45A3	SLC
SLC4A3	SLC
SLC6A15	SLC
SLC25A24	SLC
SLC26A8	SLC
SLC2A12	SLC
SLC41A1	SLC
SLC9A8	SLC
SLC16A10	SLC
SLC30A6	SLC
SLC34A3	SLC
SLCO4A1	SLC
SLC1A6	SLC
SLC22A23	SLC
SLC22A9	SLC
SLC25A25	SLC
SLC25A46	SLC
SLC29A4	SLC
SLC35B2	SLC
SLC35C1	SLC
SLC47A2	SLC
SLC6A19	SLC
SLC9A5	SLC
SLC12A9	SLC
SLC13A2	SLC
SLC22A7	SLC
SLC25A37	SLC
SLC27A3	SLC
SLC2A8	SLC
SLC33A1	SLC
SLC35A3	SLC
SLC38A4	SLC
SLC39A10	SLC
SLC51A	SLC
SLC51B	SLC
SLC52A2	SLC
SLC7A6	SLC
SLC1A7	SLC
SLC24A1	SLC
SLC24A4	SLC
SLC25A23	SLC
SLC2A11	SLC
SLC30A10	SLC
SLC30A2	SLC
SLC32A1	SLC
SLC38A5	SLC
SLC43A3	SLC
SLC4A8	SLC
SLC49A2	SLC
SLC10A3	SLC
SLC17A9	SLC
SLC22A16	SLC
SLC25A18	SLC
SLC25A28	SLC
SLC25A36	SLC
SLC25A39	SLC
SLC26A11	SLC
SLC26A7	SLC
SLC35B4	SLC
SLC39A3	SLC
SLC4A5	SLC
SLC52A1	SLC
SLC6A20	SLC
SLC10A7	SLC
SLC22A13	SLC
SLC25A16	SLC
SLC25A32	SLC
SLC27A5	SLC
SLC27A6	SLC
SLC2A13	SLC
SLC31A2	SLC
SLC35B1	SLC
SLC35D1	SLC
SLC39A9	SLC
SLC43A1	SLC
SLC43A2	SLC
SLC44A3	SLC
SLC48A1	SLC
SLC4A10	SLC
SLC6A11	SLC
SLC7A4	SLC
SLC8B1	SLC
SLC9A7	SLC
SLC22A17	SLC
SLC25A2	SLC
SLC25A21	SLC
SLC25A38	SLC
SLC25A44	SLC
SLC2A6	SLC
SLC35F2	SLC
SLC35G2	SLC
SLC7A10	SLC
SLC8A2	SLC
SLC13A1	SLC
SLC17A8	SLC
SLC25A26	SLC
SLC25A43	SLC
SLC26A1	SLC
SLC2A14	SLC
SLC30A9	SLC
SLC35B3	SLC
SLC36A2	SLC
SLC5A4	SLC
SLC6A18	SLC
SLC7A3	SLC
SLC16A5	SLC
SLC16A6	SLC
SLC16A8	SLC
SLC25A33	SLC
SLC30A3	SLC
SLC35F1	SLC
SLC38A9	SLC
SLC39A12	SLC
SLC39A13	SLC
SLC50A1	SLC
SLC5A10	SLC
SLC5A11	SLC
SLC6A17	SLC
SLC6A7	SLC
SLC9A4	SLC
SLC9B2	SLC
SLCO4C1	SLC
SLC10A4	SLC
SLC12A8	SLC
SLC15A3	SLC
SLC25A51	SLC
SLC35E1	SLC
SLC38A6	SLC
SLC39A5	SLC
SLC41A2	SLC
SLC41A3	SLC
SLC46A2	SLC
SLCO5A1	SLC
SLC49A4	SLC
SLC13A4	SLC
SLC17A4	SLC
SLC25A40	SLC
SLC25A42	SLC
SLC25A45	SLC
SLC25A47	SLC
SLC35D2	SLC
SLC35F3	SLC
SLC37A3	SLC
SLC44A5	SLC
SLC46A3	SLC
SLC7A14	SLC
SLCO6A1	SLC
SLC16A12	SLC
SLC22A14	SLC
SLC22A20	SLC
SLC23A3	SLC
SLC24A3	SLC
SLC25A29	SLC
SLC25A30	SLC
SLC25A48	SLC
SLC35G1	SLC
SLC35G5	SLC
SLC36A4	SLC
SLC37A1	SLC
SLC38A7	SLC
SLC17A2	SLC
SLC18B1	SLC
SLC35E2B	SLC
SLC38A10	SLC
SLC38A8	SLC
SLC6A10P	SLC
SLC49A3	SLC
SLC10A5	SLC
SLC16A13	SLC
SLC22A10	SLC
SLC22A15	SLC
SLC22A25	SLC
SLC25A34	SLC
SLC25A35	SLC
SLC35A4	SLC
SLC35A5	SLC
SLC35E3	SLC
SLC36A3	SLC
SLC45A1	SLC
SLC7A13	SLC
SLC7A5P1	SLC
SLC9C1	SLC
SLC10A6	SLC
SLC16A11	SLC
SLC16A14	SLC
SLC22A24	SLC
SLC25A41	SLC
SLC25A52	SLC
SLC35E2	SLC
SLC35F4	SLC
SLC35F5	SLC
SLC37A2	SLC
SLC38A11	SLC
SLC45A4	SLC
SLC5A12	SLC
SLC5A9	SLC
SLC6A16	SLC
SLC15A5	SLC
SLC25A53	SLC
SLC25A5P3	SLC
SLC26A10	SLC
SLC2A7	SLC
SLC35E4	SLC
SLC35G3	SLC
SLC4A9	SLC
SLC7A15P	SLC
SLC7A5P2	SLC
SLC9B1	SLC
SLC23A4P	SLC
SLC25A3P1	SLC
SLC25A5P2	SLC
SLC25A5P8	SLC
SLC2A3P1	SLC
SLC35D3	SLC
SLC35G6	SLC
SLC6A6P1	SLC
SLC9A3P1	SLC
SLC9C2	SLC
SLC20A1P1	SLC
SLC20A1P2	SLC
SLC20A1P3	SLC
SLC22A31	SLC
SLC25A1P3	SLC
SLC25A38P1	SLC
SLC25A51P1	SLC
SLC25A5P1	SLC
SLC25A5P4	SLC
SLC25A5P5	SLC
SLC25A5P6	SLC
SLC25A5P7	SLC
SLC25A5P9	SLC
SLC2A3P2	SLC
SLC2AXP1	SLC
SLC31A1P1	SLC
SLC35G4	SLC
SLC6A21P	SLC
SLC9A7P1	SLC
SLC9B1P1	SLC
SLCO1B7	SLC
SLC16A14P1	SLC
SLC25A14P1	SLC
SLC25A15P1	SLC
SLC25A15P2	SLC
SLC25A15P3	SLC
SLC25A15P4	SLC
SLC25A15P5	SLC
SLC25A18P1	SLC
SLC25A1P1	SLC
SLC25A1P2	SLC
SLC25A1P4	SLC
SLC25A1P5	SLC
SLC25A20P1	SLC
SLC25A39P1	SLC
SLC25A3P2	SLC
SLC25A3P3	SLC
SLC25A47P1	SLC
SLC25A51P2	SLC
SLC25A51P3	SLC
SLC25A6P1	SLC
SLC25A6P2	SLC
SLC25A6P3	SLC
SLC25A6P4	SLC
SLC25A6P5	SLC
SLC25A6P6	SLC
SLC29A4P1	SLC
SLC29A4P2	SLC
SLC2A3P4	SLC
SLC35E1P1	SLC
SLC9A3P2	SLC
SLC9A3P3	SLC
SLC9B1P2	SLC
SLC9B1P3	SLC
SLC9B1P4	SLC
SLC9B1P5	SLC
