,0
407,TRMT112
408,MRPL33
409,YBX1
410,AAMP
411,GTPBP4
412,FGFR1OP
413,HSPE1
414,COX17
415,RPL13
416,SNRPD3
417,RNF20
418,INTS8
419,TBC1D3B
420,SARS
421,TUFM
422,PCNA
423,RRM1
424,MAD2L2
425,MCM7
426,SRSF7
427,RHEB
428,CDC20
429,ANAPC5
430,DGCR8
431,RAD9A
432,METTL14
433,CIAPIN1
434,GART
435,POLR2G
436,EIF3A
437,RPA1
438,TUT1
439,HNRNPC
440,SKP1
441,EIF1
442,EIF3E
443,EPRS
444,PI4KA
445,BCLAF1
446,NDC80
447,SNAPC4
448,EEF1G
449,EEF1B2
450,CDC73
451,ATP6V0D1
452,AQP7
453,IPO9
454,THOC7
455,PSMA2
456,UQCRFS1
457,CSE1L
458,DHX16
459,ZNF720
460,ATP5F1D
461,WDR18
462,ACTB
463,ELP2
464,DHODH
465,PDRG1
466,DNMT1
467,COPA
468,NUF2
469,ADSS
470,SRP19
471,URB1
472,U2AF2
473,POLR2I
474,PSMC4
475,ANAPC2
476,PMF1-BGLAP
477,SPC24
478,NAE1
479,SNRNP200
480,CDC27
481,THAP1
482,RPL11
483,SBDS
484,ZBTB11
485,ST13
486,TSPYL5
487,PPIL4
488,CFL1
489,AHCY
490,ISY1
491,TELO2
492,NSL1
493,WEE1
494,DNAJA3
495,EXOSC5
496,SPDYE3
497,DENR
498,POLR2B
499,EIF2B1
500,TIMELESS
501,LYRM4
502,RPS27
503,RPL18
504,FIP1L1
505,ARGFX
506,POLR2L
507,NOB1
508,TPR
509,PHB2
510,RPL4
511,PAICS
512,PPP1R10
513,XRCC3
514,NAA38
515,HIST1H2BH
516,MED26
517,YY1
518,PRPF38A
519,RPL22
520,SS18L2
521,RPS11
522,TMEM258
523,ZNF574
524,BANP
525,RBM22
526,LARS
527,RPLP1
528,RPP40
529,MARS
530,NFS1
531,IPO7
532,DDX24
533,PSMB3
534,WBSCR22
535,PHF5A
536,HSPA5
537,ATP6V0C
538,OGDH
539,RPL6
540,POLR3H
541,ACTR2
542,POLR2E
543,MAGOH
544,DDX18
545,NPM1
546,RPN1
547,SF3B3
548,SMG6
549,DOLK
550,POLE2
551,QARS
552,GNL3
553,COX4I1
554,CRCP
555,BIRC5
556,EIF4A1
557,PPAT
558,TIGD1
559,VPS41
560,SYF2
561,ACTR6
562,MAT2A
563,NUDT21
564,MNAT1
565,SART3
566,RPS3A
567,ATP6V1G1
568,ABCE1
569,MRPL18
570,TPI1
571,TERF2
572,TRMT5
573,SARS2
574,KRTAP5-10
575,FXN
576,RPL36
577,SUPT6H
578,RAD51D
579,VIRMA
580,DDX42
581,GGTLC2
582,DDX23
583,SNRPC
584,ELP1
585,TTK
586,COA5
587,MCM5
588,COPZ1
589,RAD51
590,RPS17
591,PLK1
592,RRP15
593,LCE1E
594,RPL29
595,PGGT1B
596,RAD51C
597,MAD2L1
598,ALDOA
599,MED17
600,ATP5F1E
601,PPP1CB
602,SENP6
603,MRPS24
604,TOP1
605,PRELID1
606,TOP2A
607,ANAPC4
608,NMD3
609,HIST1H2BF
610,C21orf59
611,CUL1
612,RTF2
613,UBB
614,CUL2
615,TAF1C
616,SOD1
617,OTOP1
618,MSTO1
619,NPLOC4
620,DDX21
621,BOP1
622,PIK3C3
623,NOP2
624,POLR2D
625,DDX27
626,PNN
627,CHCHD4
628,ARCN1
629,NCAPD3
630,EIF3C
631,RRP7A
632,HNRNPH1
633,NOL7
634,CSNK2B
635,THOC5
636,USPL1
637,DAD1
638,SLC39A7
639,C9orf114
640,STX18
641,DIS3
642,RPL19
643,PSMA4
644,PSMA5
645,TRNT1
646,YKT6
