ABCB1	Act
ABL1	Act
ABL2	Act
ACKR3	Act
ACSL3	Act
ACVR2A	LoF
AFF1	Act
AJUBA	LoF
AKT1	Act
ALB	Act
ALK	Act
AMER1	LoF
APC	LoF
AR	Act
ARAF	Act
ARHGAP35	LoF
ARHGAP5	LoF
ARHGEF10L	LoF
ARHGEF12	Act
ARID1A	LoF
ARID1B	LoF
ARID2	LoF
ASXL1	LoF
ASXL2	LoF
ATF7IP	LoF
ATG7	LoF
ATM	LoF
ATR	LoF
ATRX	LoF
AXIN1	LoF
AXIN2	LoF
B2M	LoF
BAP1	LoF
BCL11A	Act
BCL11B	Act
BCL2	Act
BCL6	Act
BCL7A	Act
BCL9	Act
BCL9L	Act
BCLAF1	Act
BCOR	LoF
BCORL1	LoF
BCR	Act
BIRC3	Act
BMPR1A	LoF
BMPR2	LoF
BRAF	Act
BRCA1	LoF
BRCA2	LoF
BRD4	Act
BRD7	LoF
BTK	Act
CAMTA1	LoF
CARD11	Act
CASP8	LoF
CASZ1	LoF
CBFA2T3	Act
CBFB	Act
CBL	Act
CCDC6	LoF
CCND1	Act
CCND2	Act
CCND3	Act
CCR7	LoF
CD58	LoF
CD79B	Act
CDC73	LoF
CDH1	LoF
CDH10	Act
CDK12	LoF
CDK4	Act
CDKN1A	LoF
CDKN1B	LoF
CDKN2A	LoF
CDKN2C	LoF
CDX2	Act
CHD2	LoF
CHD4	Act
CHEK2	LoF
CIC	LoF
CIITA	Act
CLIP1	LoF
CLTC	Act
CLTCL1	Act
CMTR2	LoF
CNOT3	Act
COL1A1	Act
CPEB3	Act
CREBBP	LoF
CRNKL1	Act
CSF3R	Act
CTCF	LoF
CTNNB1	Act
CUL3	LoF
CXCR4	Act
CYLD	LoF
CYP2C8	LoF
CYSLTR2	Act
DAXX	LoF
DAZAP1	LoF
DCAF12L2	Act
DCC	LoF
DCSTAMP	Act
DDB2	LoF
DDX3X	LoF
DGCR8	LoF
DHX9	Act
DICER1	LoF
DIS3	LoF
DNAJB1	LoF
DNMT3A	LoF
DOT1L	LoF
DROSHA	LoF
DUSP16	LoF
EGFR	Act
EIF1AX	LoF
EIF3E	Act
ELF3	LoF
ELF4	Act
EP300	LoF
EPAS1	Act
EPHA2	LoF
EPS15	Act
ERBB2	Act
ERBB3	Act
ERBB4	LoF
ERCC2	LoF
ERCC3	LoF
ERG	Act
ESR1	Act
ESRRA	Act
ETV4	LoF
ETV5	Act
ETV6	Act
EWSR1	Act
EXT2	LoF
EZH2	LoF
FAM135B	Act
FAM46C	LoF
FANCA	LoF
FANCC	LoF
FANCD2	LoF
FANCF	LoF
FAS	LoF
FAT1	LoF
FAT2	Act
FAT4	LoF
FBLN1	Act
FBXO11	LoF
FBXW7	LoF
FGD5	Act
FGFR1	Act
FGFR2	Act
FGFR3	Act
FGFR4	Act
FH	LoF
FLCN	LoF
FLT3	Act
FN1	LoF
FOXA1	LoF
FOXA2	LoF
FOXD4L1	LoF
FOXL2	Act
FOXO1	Act
FOXP1	Act
FUBP1	LoF
GATA1	Act
GATA2	Act
GATA3	LoF
GLI1	Act
GMPS	LoF
GNA11	Act
GNA13	LoF
GNAQ	Act
GNAS	Act
GRIN2A	Act
GTF2I	Act
H3F3A	Act
HGF	Act
HIP1	Act
HIST1H3B	Act
HIST1H4I	Act
HNF1A	LoF
HNRNPA2B1	Act
HOXC13	Act
HOXD13	LoF
HRAS	Act
HSP90AA1	Act
HSP90AB1	Act
HTRA2	LoF
ID3	LoF
IDH1	Act
IDH2	Act
IFNAR1	LoF
IFNGR1	LoF
